area,deal_date,district,housing_estate,total_price,unit_price
71.12,2020.10.14,普陀,昆仑花苑,295,41480
103.7,2020.10.14,普陀,阳光威尼斯(二期),423,40791
54.42,2020.10.14,普陀,清涧六街坊,238,43734
73.17,2020.10.14,普陀,芝巷小区,479,65464
100.99,2020.10.14,普陀,昆仑花苑,413,40896
54.26,2020.10.14,普陀,桃浦十村（紫藤苑小区白丽路701弄）,195,35939
76.71,2020.10.14,普陀,中远两湾城,547,71256
70.87,2020.10.14,普陀,达安春之声,547,77184
88.78,2020.10.14,浦东,三林新村(永泰路136弄),505,56883
61.2,2020.10.14,浦东,兰园小区,396,64706
33.88,2020.10.13,普陀,延长小区(普陀),195,57557
103.97,2020.10.13,普陀,武宁小城,697,67001
50.76,2020.10.12,普陀,信仪新村,277,54571
64.43,2020.10.14,浦东,曙光南桥小区,223,34612
114.52,2020.10.14,浦东,由由新景苑,695,60689
57.63,2020.10.14,浦东,万邦都市花园,500,86761
103.05,2020.10.14,浦东,绿洲康城亲水湾(中央区),525,50947
32.6,2020.10.14,浦东,由由二村,197,60430
90.79,2020.10.12,普陀,阳光水岸苑,355,39102
48.52,2020.10.12,普陀,黄陵小区,233,47919
47.12,2020.10.12,普陀,杨桥第一小区,225,47708
87.37,2020.10.11,普陀,泰宸苑,506,57915
57.3,2020.10.11,普陀,真光七街坊,307,53578
56.91,2020.10.14,闵行,氯碱小区,180,31594
69.9,2020.10.14,浦东,丽水雅苑,160,22890
29.23,2020.10.14,浦东,由由七村,201,68765
82.66,2020.10.14,浦东,康敏苑,269,32543
69.69,2020.10.14,浦东,新芳邻,285,40896
91.34,2020.10.14,浦东,仁恒森兰雅苑(一期),840,91965
283,2020.10.14,浦东,华钜御庭(三期)(别墅),1100,38870
50.15,2020.10.11,普陀,石一小区,200,39881
58.79,2020.10.11,普陀,宜川一村,309,52560
58,2020.10.11,普陀,梅六小区,375,64656
108,2020.10.11,普陀,爱建新村,615,56945
76.44,2020.10.11,普陀,建德花园海棠苑,408,53376
89.95,2020.10.14,松江,江中公寓,282,31351
111.86,2020.10.14,松江,江中公寓,370,33078
49.7,2020.10.14,松江,塘和家园德悦苑,127,25453
92.94,2020.10.14,闵行,万顺水原墅(公寓),315,33893
98.33,2020.10.14,闵行,上海康城,401,40782
42.68,2020.10.14,闵行,银都新村(1至7区),235,54874
75.87,2020.10.14,闵行,浦江世博家园八街坊,312,41071
67.61,2020.10.14,闵行,罗阳二村,280,41414
58.62,2020.10.14,浦东,海尚康庭,205,34971
46.14,2020.10.14,浦东,沪南船舶小区,255,55267
63.59,2020.10.14,浦东,柳博小区(柳一小区),348,54726
47.33,2020.10.14,浦东,上南八村,233,49187
60.76,2020.10.14,浦东,巨东小区,615,101218
33.18,2020.10.14,杨浦,控江七村,209,62990
42,2020.10.14,杨浦,民星二村,210,49881
34.14,2020.10.14,长宁,虹纺小区,203,59462
41.84,2020.10.14,长宁,大桥小区,245,58557
52.79,2020.10.14,长宁,虹储小区,355,67248
68.03,2020.10.11,普陀,真光第四小区,360,52918
42.48,2020.10.11,普陀,梅六小区,295,69445
34.25,2020.10.11,普陀,宜川四村,164,47884
43.07,2020.10.11,普陀,曹杨五村(南杨园),259,60135
91.04,2020.10.14,宝山,美岸栖庭(公寓),529,58085
125.15,2020.10.14,松江,民乐小区,334,26672
51.13,2020.10.14,松江,人乐小区,156,30413
71.16,2020.10.14,松江,塘和家园德宁苑,204,28668
74.4,2020.10.14,松江,塘和家园桂花锦苑,192,25794
107.65,2020.10.14,松江,大江苑,320,29726
62.4,2020.10.14,徐汇,馨宁公寓,413,66106
72.34,2020.10.14,徐汇,龙南五村,435,60133
42.96,2020.10.14,徐汇,王家堂小区,350,81472
61.04,2020.10.14,闵行,春馨苑,324,52999
75.93,2020.10.14,闵行,浦江世博家园十五街坊,326,42935
76.15,2020.10.14,闵行,晶欣坊,465,61064
135.31,2020.10.14,闵行,万科朗润园,809,59789
49.21,2020.10.14,闵行,静安新城十区,296,60151
101,2020.10.14,浦东,丽泽梅傲苑,181,17921
55.95,2020.10.14,浦东,凌兆新村(上浦路510弄),302,53977
,2020.10.14,浦东,环球翡翠湾花园(公寓),30,150000
53.67,2020.10.14,浦东,德州四村,288,53662
166,2020.10.14,浦东,陆家嘴国际华城,1536,92531
46.75,2020.10.14,浦东,上南三村,286,61070
61.36,2020.10.14,杨浦,抚顺路363弄,455,74153
70.4,2020.10.14,杨浦,控江二村,545,77415
31.15,2020.10.14,杨浦,延吉四村,210,67416
,2020.10.14,杨浦,韵都城,60,20108
33.42,2020.10.14,杨浦,翔殷路627弄,216,64632
52.6,2020.10.14,长宁,虹桥路959弄,328,62263
131.14,2020.10.14,长宁,虹桥中山广场,859,65503
41.73,2020.10.14,长宁,安阳小区,283,67817
69.73,2020.10.14,长宁,华山花苑,485,69554
60.1,2020.10.13,长宁,天蒲小区,333,55408
71.17,2020.10.11,普陀,上钞银杏苑,500,70255
65.61,2020.10.11,普陀,东泉苑小区,415,63253
109.12,2020.10.11,普陀,宁泉新苑,616,56452
32.92,2020.10.11,普陀,长风三村,162,49211
44.2,2020.10.11,普陀,长风二村风荷园,279,63123
44.37,2020.10.14,宝山,葑润华庭,221,49809
57.95,2020.10.14,宝山,祁连四村,280,48318
59.61,2020.10.14,宝山,共富四村,232,38920
36.74,2020.10.14,宝山,月浦六村,106,28852
166.19,2020.10.14,宝山,铂珏公馆,743,44708
89.52,2020.10.14,宝山,保利叶上海(一期),490,54737
